Simulation results for substrates contain 60-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime

0   	1   	0.009540
1   	1   	0.036464
2   	1   	0.084284
3   	1   	0.158404
4   	1   	0.373959
5   	1   	0.483110
6   	1   	0.857673
7   	1   	1.549402
8   	4   	3.973729
9   	4   	3.941326
10   	1   	5.591468
11   	4   	5.739695
12   	4   	5.974191
13   	3   	0.001314
14   	4   	1.642357
15   	3   	0.001742
16   	3   	0.001511
17   	3   	0.001625
18   	3   	0.001775
19   	3   	0.001822
20   	3   	0.002133
21   	3   	0.002489
22   	3   	0.002061
23   	3   	0.002311
24   	3   	0.002120
25   	1   	0.009426
26   	1   	0.065596
27   	1   	0.173779
28   	1   	0.290904
29   	1   	0.644166
30   	1   	2.180930
31   	4   	2.607713
32   	4   	4.089691
33   	4   	3.098592
34   	4   	5.340185
35   	4   	4.484373
36   	4   	3.931326
37   	4   	5.342150
38   	4   	3.676931
39   	4   	2.665928
40   	3   	0.001382
41   	3   	0.001790
42   	3   	0.001662
43   	3   	0.001678
44   	3   	0.001860
45   	3   	0.002065
46   	3   	0.001994
47   	3   	0.001886
48   	3   	0.002601
49   	3   	0.001969
50   	1   	0.012737
51   	1   	0.053065
52   	1   	0.093607
53   	1   	0.339052
54   	1   	0.907027
55   	1   	0.949125
56   	4   	3.293368
57   	1   	2.982053
58   	4   	3.618801
59   	4   	1.678100
60   	4   	3.442178
61   	4   	3.013626
62   	3   	1.573655
63   	3   	1.529819
64   	3   	1.116947
65   	3   	0.001465
66   	3   	0.001819
67   	3   	0.001643
68   	3   	0.001625
69   	3   	0.001709
70   	3   	0.001823
71   	3   	0.001643
72   	3   	0.001726
73   	3   	0.002159
74   	3   	0.002084
75   	1   	0.009495
76   	1   	0.052271
77   	1   	0.066881
78   	1   	0.471819
79   	1   	1.365091
80   	4   	1.378196
81   	4   	1.792447
82   	4   	2.507201
83   	1   	1.951084
84   	4   	3.770862
85   	4   	2.729520
86   	3   	1.096378
87   	3   	0.302479
88   	3   	0.001188
89   	3   	0.001260
90   	3   	0.001194
91   	3   	0.001546
92   	3   	0.001657
93   	3   	0.001660
94   	3   	0.001807
95   	3   	0.001719
96   	3   	0.002084
97   	3   	0.002024
98   	3   	0.002290
99   	3   	0.002033
100   	1   	0.008699
101   	1   	0.028898
102   	1   	0.069057
103   	1   	0.545093
104   	1   	1.123234
105   	4   	2.348504
106   	4   	2.584754
107   	4   	3.359646
108   	4   	3.553814
109   	4   	4.463817
110   	4   	1.269606
111   	4   	2.426645
112   	4   	1.337155
113   	3   	0.001241
114   	3   	0.001215
115   	3   	0.001440
116   	3   	0.001406
117   	3   	0.001526
118   	3   	0.001712
119   	3   	0.002055
120   	3   	0.001679
121   	3   	0.002065
122   	3   	0.001911
123   	3   	0.001816
124   	3   	0.002368
125   	1   	0.007628
126   	1   	0.027581
127   	1   	0.062314
128   	1   	0.399145
129   	1   	0.128770
130   	4   	2.353641
131   	4   	2.045952
132   	4   	2.410939
133   	4   	3.157979
134   	4   	0.988053
135   	4   	1.683844
136   	4   	0.962739
137   	3   	0.001206
138   	3   	0.001190
139   	3   	0.001217
140   	3   	0.001180
141   	3   	0.001344
142   	3   	0.001593
143   	3   	0.001625
144   	3   	0.001623
145   	3   	0.001788
146   	3   	0.001997
147   	3   	0.001891
148   	3   	0.002145
149   	3   	0.002115
150   	1   	0.009387
151   	1   	0.023668
152   	1   	0.065939
153   	1   	0.518816
154   	4   	1.112052
155   	4   	1.823533
156   	4   	2.506532
157   	4   	2.453478
158   	4   	1.281666
159   	4   	1.665649
160   	4   	1.425606
161   	3   	0.606173
162   	3   	0.001178
163   	3   	0.811450
164   	3   	0.001275
165   	3   	0.001733
166   	3   	0.001400
167   	3   	0.001616
168   	3   	0.001846
169   	3   	0.001669
170   	3   	0.001632
171   	3   	0.001846
172   	3   	0.001785
173   	3   	0.002791
174   	3   	0.001885
175   	1   	0.008474
176   	1   	0.029884
177   	4   	0.687474
178   	4   	0.732460
179   	1   	0.584359
180   	1   	0.642763
181   	4   	1.959418
182   	4   	1.811546
183   	4   	2.694145
184   	4   	2.635797
185   	4   	2.016905
186   	3   	0.447486
187   	4   	1.027810
188   	3   	0.001247
189   	3   	0.001150
190   	3   	0.001457
191   	3   	0.001610
192   	3   	0.001602
193   	3   	0.001604
194   	3   	0.001725
195   	3   	0.001866
196   	3   	0.001647
197   	3   	0.001667
198   	3   	0.002110
199   	3   	0.002049
200   	1   	0.006069
201   	1   	0.022235
202   	1   	0.057921
203   	4   	0.786797
204   	4   	1.371740
205   	4   	1.675081
206   	4   	1.248916
